Winery,Name,Vintage,Region,Country,Style,Date,Rating,Notes,Type,Link,Winery_Long,Winery_Lat
Dinastía Manzanos,Tempranillo,2017,Rioja,Spain,Spanish Rioja Red,2019-02-26 03:03:00,3.5,,Red Wine,https://www.vivino.com/wines/157045512,-1.8937490000000001,42.308325
Alambrado,Malbec,2016,Mendoza,Argentina,Argentinian Malbec,2019-02-26 03:03:00,3.0,,Red Wine,https://www.vivino.com/wines/93438112,-73.11499920000001,-36.084686600000005
Clemens Busch,Riesling Trocken,,Mosel,Germany,German Riesling,2019-02-26 04:04:00,4.0,,White Wine,https://www.vivino.com/wines/2291889,7.1210605,50.0420348
Au Bon Climat,Chardonnay Santa Barbara County,,Santa Barbara County,United States,Californian Chardonnay,2019-02-26 04:04:00,4.0,,White Wine,https://www.vivino.com/wines/4724153,-119.6992885,34.4210553
J. Opi a.k.a Rodolfo Sadler,Malbec,2017,Mendoza,Argentina,Argentinian Malbec,2019-02-26 04:04:00,3.0,,Red Wine,https://www.vivino.com/wines/150416064,-68.86496600000001,-32.879219
Mas de Daumas Gassac,Grande Réserve de Gassac Blanc,2017,Hérault,France,Languedoc-Roussillon White,2019-02-26 04:04:00,4.0,,White Wine,https://www.vivino.com/wines/152809739,3.5885073,43.6619659
Abbesse,Sauvignon Blanc,2017,Val de Loire,France,,2019-02-26 04:04:00,3.0,,White Wine,https://www.vivino.com/wines/154187174,1.12104,47.310719
Ramón Roqueta,Las Barracas  Tempranillo - Cabernet Sauvignon Gran Reserva,2011,Catalunya,Spain,Spanish Red,2019-02-26 04:04:00,4.0,,Red Wine,https://www.vivino.com/wines/3631255,1.3796667,41.466856299999996
Saracosa,Toscana Rosso,2016,Toscana,Italy,Tuscan Red,2019-02-26 04:04:00,3.0,,Red Wine,https://www.vivino.com/wines/131502113,10.1311648,43.375637299999994
Bees Knees,Chenin Blanc - Viognier,,Western Cape,South Africa,,2019-02-26 04:04:00,3.5,,White Wine,https://www.vivino.com/wines/18624423,18.9131028,-34.1098055
Dark Corner,Durif - Shiraz,2017,South Eastern Australia,Australia,Australian Shiraz,2019-02-26 04:04:00,3.5,,Red Wine,https://www.vivino.com/wines/151598810,144.4316676,-34.4870148
Stones & Bones,Tinto,2015,Lisboa,Portugal,Southern Portugal Red,2019-02-26 04:04:00,4.0,,Red Wine,https://www.vivino.com/wines/35448929,-9.3224632,38.659158399999995
Concilio,Contessa Giovanna Manci Pinot Grigio,2017,Trentino,Italy,Northern Italy Pinot Grigio,2019-02-26 04:04:00,3.0,,White Wine,https://www.vivino.com/wines/156387275,11.062165400000001,45.9081977
Goldstrike,Bin 1849 Chardonnay,,Lodi,United States,Californian Chardonnay,2019-02-26 04:04:00,3.0,,White Wine,https://www.vivino.com/wines/155876655,-121.2760467,38.1280562
Kracher & Sohm,Lion Grüner Veltliner,2015,Niederösterreich,Austria,Austrian Grüner Veltliner,2019-02-26 04:04:00,2.5,,White Wine,https://www.vivino.com/wines/142589080,16.7654453,47.7695326
Domaine Capmartin,Cuvée du Couvent Madiran,2015,Madiran,France,,2019-03-02 01:01:00,,,Red Wine,https://www.vivino.com/wines/35158929,-0.12349020000000001,43.586335399999996
Meix Guillaume,Rully Vieilles Vignes,,Côte Chalonnaise,France,Burgundy Côte Chalonnaise White,2019-03-02 02:02:00,,,White Wine,https://www.vivino.com/wines/4590314,4.589328500000001,46.7865555
Château Bardins,Pessac-Léognan,2014,Pessac-Léognan,France,Bordeaux Pessac-Léognan,2019-03-02 02:02:00,,,Red Wine,https://www.vivino.com/wines/14723446,-0.6782428,44.7483189
Moulin de la Roque,Les Hautes Terres Rosé,2017,Bandol,France,Provence Rosé,2019-03-09 03:03:00,2.0,"Minor sediments, semi-cloudy clarity. White-brown. Rotten fruit aromas, perhaps peach, apple. Light on palate. Dry.",Rosé Wine,https://www.vivino.com/wines/157219242,4.8778212,43.87990670000001
Château Suau,Bordeaux Blanc Sec,2017,Bordeaux,France,Bordeaux White,2019-03-09 03:03:00,3.0,"Clear, gas evidence. Mild nose. Lemon. Heavy on the palate. Soft. Medium acid. Medium alcohol. ",White Wine,https://www.vivino.com/wines/151664922,-0.4443606,44.72651
Domaine des Cognettes,Clisson Muscadet Sèvre et Maine,,Muscadet-Sevre et Maine,France,Loire Muscadet,2019-03-09 03:03:00,2.5,,White Wine,https://www.vivino.com/wines/4849061,-1.2634143999999998,47.0848882
Duca di Saragnano,Vecciano Toscana,2014,Toscana,Italy,Tuscan Red,2019-03-09 04:04:00,4.0,"Dark, cloudy, happy berry notes. Medium- tannin. Off-dry. Medium+ body and acid. Ruby rim. Purple core.",Red Wine,https://www.vivino.com/wines/7028742,14.759826,40.738659999999996
Red Hook,Macari Vineyard Sauvignon Blanc,2016,Long Island,United States,,2019-03-15 23:11:00,3.5,"Cloudy, off white, minor gas evidence, distinctive honey lemon notes, some mineral, spice notes. Very smooth palate. Nice fruity notes",White Wine,https://www.vivino.com/wines/154505347,-74.03597950000001,40.701167299999994
Rooftop Reds,Grüner Veltliner,2017,New York,United States,,2019-03-15 23:11:00,3.0,"Distinctively dry, peach, pear, medium medium plus body. Clear color. Some bittersweet notes.",White Wine,https://www.vivino.com/wines/157673525,-74.0040295,40.7116398
Red Newt Cellars,Gewürztraminer,2014,Finger Lakes,United States,,2019-03-15 23:11:00,3.5,"Lychee, honey right out front. The nose already feels dry or off dry. Surprisingly sweeter after taste than expected. Really balanced lengthy finish.",White Wine,https://www.vivino.com/wines/12670758,-76.9527704,42.4347539
Hermann J. Wiemer,HJW Vineyard Riesling,2014,Finger Lakes,United States,,2019-03-15 23:11:00,4.0,"Very very bright sweetness, fruit. A Riesling on the drier side. The nose is exactly what I drank. No more surprises. A smoother sparkly finish that the Wolffer Chard. Mineral.",White Wine,https://www.vivino.com/wines/12353109,-77.66307049999999,41.6237921
Wölffer Estate,Perle Chardonnay,2017,"The Hamptons, Long Island",United States,,2019-03-15 23:11:00,3.5,Really creamy and rich on the palate. Some hard acidity in there. Mellow oaky notes. Some sparkly after taste not sure why. Left something of a coffee burn. Didn’t have the burn or sparkle on the second try.,White Wine,https://www.vivino.com/wines/152415545,-72.36603259999998,40.8362739
Full Rack,Special Blend,2017,California,United States,,2019-03-16 03:03:00,4.5,Long lasting intense fruity aromas. Nice jam flavors. Low tannins. Deep purple core. No sediment. Medium plus acidity.,Red Wine,https://www.vivino.com/wines/151344123,-122.02727730000001,37.5750577
Il Papavero,Primitivo Puglia,2017,Puglia,Italy,Southern Italy Primitivo,2019-03-23 01:01:00,4.0,"Clear. Dark violet color. Fruity and instant oak nose. Low tannins, medium alcohol, spicy notes. Medium minus acidity. Medium body. Prominent blackberry, dark cherry",Red Wine,https://www.vivino.com/wines/151753385,11.4532656,43.4631063
Tomaiolo,Chianti Riserva,2015,Chianti,Italy,Italian Chianti,2019-03-28 23:11:00,3.0,Ruby garnet. Rim tending towards brown. Mild oak earthy cherry notes. Medium plus acidity. Fairly sour finish. No tannins.,Red Wine,https://www.vivino.com/wines/22916616,15.891654999999998,41.684601
Grifone,Pinot Grigio,2018,Vino d'Italia,Italy,Northern Italy Pinot Grigio,2019-03-30 04:04:00,2.5,"Pear, apple notes. High sour notes. Fairly smooth finish. Lemon aftertaste. Light bodied. ",White Wine,https://www.vivino.com/wines/158442571,10.742780999999999,45.592434000000004
Vilarnau,Brut Nature Vintage,N.V.,Cava,Spain,Spanish Cava,2019-04-03 04:04:00,3.0,Nice dry notes.,Sparkling,https://www.vivino.com/wines/2637744,1.7701481,41.4503214
Michel Bouzereau,Bourgogne Chardonnay,2013,Bourgogne,France,Burgundy White,2019-04-04 00:12:00,3.5,Mellow buttery notes. Smooth on the palate. Medium minus alcohol. Mildly acid profile. Citrus. Minerals.  Basic complexity.,White Wine,https://www.vivino.com/wines/12768685,4.7714682999999996,46.979301
Frenzy,Sauvignon Blanc,2018,South Island,New Zealand,New Zealand Sauvignon Blanc,2019-04-04 00:12:00,3.5,"Bright lemon, pear, apple notes. Medium plus acidity. Dry. Definite citrus. Medium length finish.",White Wine,https://www.vivino.com/wines/156909869,173.01896000000002,-41.4976243
Holdings,Vineyard Select Cabernet Sauvignon,2017,California,United States,Californian Cabernet Sauvignon,2019-04-06 01:01:00,4.0,"Deep purple core. Mildly brown rim. No visual evidence of tannins. Dominant oak, dark berry, hints of vanilla, fruity tobacco sorts. Medium tannins, very smooth and balanced finish. Medium acidity, medium alcohol.",Red Wine,https://www.vivino.com/wines/154613437,-120.628253,35.649892
Vincent Pinard,Florés Sancerre,2017,Sancerre,France,Upper Loire White,2019-04-08 23:11:00,3.5,"cloudy on first look. Pale golden brown. Very balanced pear, lemon notes. Medium (plus?) alcohol. Very balanced citrus notes. Very dry.",White Wine,https://www.vivino.com/wines/152612648,2.791598,47.307459
Domaine Masson-Blondelet,Les Angelots Pouilly-Fumé,2017,Pouilly-Fumé,France,Upper Loire White,2019-04-08 23:11:00,3.5,"Bright golden color. Brighter lemon, green kind of notes. Feels fresh. Definite pear, peach. Medium plus body, high on the acidity and sourness. Minerals. Balanced sour finish.",White Wine,https://www.vivino.com/wines/156313988,2.9521843,47.2850716
Weinbau Paetra,K Riesling,2017,Willamette Valley,United States,Oregon Riesling,2019-04-08 23:11:00,3.0,Interestingly dusty nose. Feels dry right on first nose. Very dry palate. Minerals dominate sort of. ,White Wine,https://www.vivino.com/wines/157398619,-123.16362,45.135488
Franzen,Bremmer Calmont Riesling,2017,Mosel,Germany,German Riesling,2019-04-08 23:11:00,4.0,"Clear off dry nose. More than the Oregon Paetra. sweet notes on the palate. Fairly long and bright finish. Minerals dominate, mildly citrus.",White Wine,https://www.vivino.com/wines/153142294,7.118231,50.099736
Wittmann,Morstein Riesling GG,2012,Rheinhessen,Germany,German Riesling,2019-04-08 23:11:00,4.5,"Butterscotch, caramel, chocolate right off the nose. Golden brown color (under mellow lights of the bar). Minerals, stone. Well balance sweetness. Very low acidity. Smooth butter finish. The flavor is like the Battello Chardonnay (no bottles just in house by the tap) multiplied over and over and smoothly balanced.",White Wine,https://www.vivino.com/wines/3155198,8.248461,49.706435
Lauran Cabaret,Domaine de Buadelle Minervois,2016,Minervois,France,Languedoc-Roussillon Red,2019-04-13 00:12:00,3.5,"Dark purple core, heavy legs. Dark berry nose. Mild oak. Minerals. Earthen content in the nose. No evidence of sediment. Heavy on the palate. Smooth tannins, mineral-y finish. Medium plus to full body.  Blackberry. Fairly dry. ",Red Wine,https://www.vivino.com/wines/152421859,2.5162197999999996,43.267196000000006
Marqués de Riscal,Próximo Rioja,,Rioja,Spain,Spanish Rioja Red,2019-04-20 01:01:00,3.0,"Medium garnet color. Heavy oak, chocolate. cherry mixed with mellow leather tones. Medium to high acidity, smooth leathery finish. Low tannins ",Red Wine,https://www.vivino.com/wines/2687777,-2.6203222000000004,42.511289
Calmel & Joseph,Villa Blanche Chardonnay,2016,Pays d'Oc,France,Languedoc-Roussillon White,2019-04-26 22:10:00,3.0,"Mellow minerals. Pineapple, honey flavors on the palate. The finish is dominated by the honey tones. Medium alcohol, medium balanced acidity. But nothing exciting about it. Pale straw color.",White Wine,https://www.vivino.com/wines/130544147,2.4306153,43.1650659
Lombard,Le Viognier,2016,Vin de Pays,France,,2019-04-26 22:10:00,3.5,"Interesting dominated pepper nose. high acidity, sourness. Residual flavors. Medium plus body. Cloudy core. Just like I’ve seen with previous Viogniers.",White Wine,https://www.vivino.com/wines/150025746,4.8627193,44.791655799999994
Ferraton Pere & Fils,Samorëns Côtes-du-Rhône Rouge,2017,Côtes-du-Rhône,France,Southern Rhône Red,2019-04-26 22:10:00,3.0,"Bright golden color. Lemon, peach, pear flavors on the nose. High acidity, medium plus to high alcohol.",Red Wine,https://www.vivino.com/wines/152860846,4.8380013,45.068686799999995
Gundlach Bundschu,Chardonnay,,Sonoma Coast,United States,Californian Chardonnay,2019-05-06 01:01:00,3.5,"Refreshing honey, melon flavors. Smooth buttery finish. Medium plus alcohol and acidity.",White Wine,https://www.vivino.com/wines/1495196,-122.41931869999999,38.280937200000004
Robert Mondavi Private Selection,Merlot,2017,Central Coast,United States,Californian Merlot,2019-05-08 03:03:00,3.5,"Dark ruby tending towards purple. Heavy legs, appears to be full bodied. Heavy oak, chocolate, blueberry, blackberry nose. Soft tannins, feels relatively young on the palate. Not very fruit forward though and low complexity and finish.",Red Wine,https://www.vivino.com/wines/150596248,-122.41228770000001,38.455435200000004
Robert Mondavi Private Selection,Cabernet Sauvignon,2016,Central Coast,United States,Californian Cabernet Sauvignon,2019-05-08 03:03:00,4.0,"Heavy legs, fruitier than the previous Merlot. The nose feels fruity cherry, the nose is relatively smooth. The oak is less pronounced and blends very well with the blackberry nose. The tannins are stronger yet velvety. High alcohol and acidity.",Red Wine,https://www.vivino.com/wines/86690130,-122.41228770000001,38.455435200000004
Red Hook,Macari Vineyard Merlot,2014,North Fork of Long Island,United States,Californian Merlot,2019-05-10 03:03:00,4.0,"Very fruit forward, blackberry, cherry, blueberry. Blend with oak. Medium bodied. Leaves vanilla essence of sorts towards the end. Dry finish with a velvety smooth palate.",Red Wine,https://www.vivino.com/wines/157033313,-72.5702157,40.986827000000005
Motto,Backbone Cabernet Sauvignon,,California,United States,Californian Cabernet Sauvignon,2019-05-16 04:04:00,,,Red Wine,https://www.vivino.com/wines/27373807,-122.4631327,38.2923732
Barefoot,Pinot Noir,,California,United States,Californian Pinot Noir,2019-05-18 04:04:00,3.0,Very fruit forward nose. Bright cherry and raspberry prominent. Brighter than ruby color I guess. Low on tannins. Feels juicy on the palate. Very light. Mild acidity.,Red Wine,https://www.vivino.com/wines/2232841,-120.98756170000001,37.6333302
Robert Cantin,Les Pierblancs Sancerre,2018,Sancerre,France,Upper Loire White,2019-05-25 02:02:00,4.0,"Distinctive pale color. The color does complete justice to the nose. Evokes fresh juicy fruit emotions, perhaps melon, watermelon juice. Fairly light legs. Very light on the palate, soft mineral finish. One of the best rosé I’ve had so far!",White Wine,https://www.vivino.com/wines/160512023,2.8628703,47.3082806
Château du Donjon,Le Merlot du Donjon,2015,Coteaux de Peyriac,France,Languedoc-Roussillon Red,2019-05-25 02:02:00,3.5,Very deep color and heavy legs. Quite an obvious plum dominant nose as expected from a Merlot. Definitely feels full bodied. Some secondary spice flavors. Mild oak of sorts. Smooth velvet palate. Tannins on the lower side. Medium plus alcohol. The velvet finish gives a sense of balance.,Red Wine,https://www.vivino.com/wines/147377629,2.4352139999999998,43.274577
Domaine de Cause,La Lande Cavagnac Cahors Malbec,,Cahors,France,Southwest France Malbec,2019-05-28 01:01:00,4.0,"This is a really good Malbec! Well balanced spice nose. Heavy legs. Can clearly feel the boldness while pouring. The spice nose feels dry yet very soothing. The blackberry nose is gently softened by the oak aging. Medium tannins, again velvety touch. Feels a lot like wine dominated by black cherries. The oak gives a leather finish.",Red Wine,https://www.vivino.com/wines/4840838,1.039259,44.510596
Feudo Solaria,Lilium,2017,Sicily,Italy,,2019-05-29 02:02:00,,,Red Wine,https://www.vivino.com/wines/160690255,15.240354,38.213533
Tenuta Moriniello,Chianti Organic La Pieve,,Tuscany,Italy,,2019-05-29 02:02:00,,,Red Wine,https://www.vivino.com/wines/160690291,10.918709,43.558296
Château Beauregard Mirouze,Cuvée Lauzina,2016,Corbières,France,,2019-05-29 02:02:00,,,Red Wine,https://www.vivino.com/wines/160690342,2.868911,43.124338
Château Suau,Château Suau Blanc Sec AOC Bordeaux,2017,Bordeaux,France,,2019-05-29 02:02:00,,,White Wine,https://www.vivino.com/wines/160690362,-0.314854,44.604639
Nicolas Maillet,Mâcon-Villages,,Mâcon-Villages,France,Burgundy Macônnais White,2019-05-29 03:03:00,,,White Wine,https://www.vivino.com/wines/3582342,4.737016000000001,46.382553
Norton,Privada Malbec,2014,Lujan de Cuyo,Argentina,Argentinian Malbec,2019-06-02 16:04:00,4.0,"Deep purple core. Off the bat oak flavored. Blackberry. Seems well balanced, slightly off dry notes. Smooth velvety palate. Medium tannins, medium bodied. The acidity is well balanced by the tannin flavors.",Red Wine,https://www.vivino.com/wines/15771234,-68.887488,-33.087468
St. Supéry,Sauvignon Blanc,,Napa Valley,United States,Californian Sauvignon Blanc,2019-06-02 18:06:00,4.0,"Instant citrus, lemon nose. Really fresh palate. Some bubbly elements. But evokes very fresh flavors. The sourness peaks on the tongue quite instantly ",White Wine,https://www.vivino.com/wines/1809139,-122.414296,38.455464
Carlos Serres,Rioja Gran Reserva,2010,Rioja,Spain,Spanish Rioja Red,2019-06-11 06:06:00,4.0,"Very nice blueberry blackberry flavors. Fairly heavy legs. Feels like a medium bodied. The berries are well balanced with oak, and hints of vanilla. I can feel the acidity in my nose. Anticipating a very good palate. Heavy tannins, slightly harsher on the palate. I paired this with chicken broth, tempranillo cooked prawn and the wine spices were well complemented. The aromas really fulfill the sinus in a weird way.",Red Wine,https://www.vivino.com/wines/2901493,-2.861694,42.568203
Hahn,Pinot Gris,2017,Monterey County,United States,Californian Pinot Gris,2019-06-11 06:06:00,3.5,,White Wine,https://www.vivino.com/wines/4980440,-121.383945,36.378621
